query_id,query,expected_scenario,expected_variable,expected_year_range,expected_file_path,predicted_scenario,predicted_variable,predicted_year_range,scenario_match,variable_match,year_range_match,file_path_match,success,error
29,Provide me with the near-surface air temperature data for the ssp119 CO2 emissions scenario from 210101 to 215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,tas,210101-215012,True,True,True,False,True,
27,Show me the near-surface air temperature data related to the CO2 emissions scenario ssp119 for the timeframe from 210101 to 215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,tas,210101-215012,True,True,True,False,True,
33,Please show me the near-surface air temperature data for the ssp119 CO2 emissions scenario from 215101 to 220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc,ssp119,tas,215101-220012,True,True,True,False,True,
28,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 215101-220012,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc,ssp119,tas,215101-220012,True,True,True,False,True,
32,I would like to see the near-surface air temperature data related to the ssp119 CO2 emissions scenario for the time period 215101-220012.,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc,ssp119,tas,215101-220012,True,True,True,False,True,
69,I request access to the near-surface air temperature data linked to the ssp119 CO2 emissions scenario for the timeframe 230101-235012.,ssp119,tas,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,tas,230101-235012,True,True,True,False,True,
31,Can you provide me with the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario between 215101 and 220012?,ssp119,tas,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_215101-220012.nc,ssp119,tas,215101-220012,True,True,True,False,True,
70,I would like to see the near-surface air temperature data pertaining to the ssp119 CO2 emissions scenario during the time frame from 235101 to 240012.,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,tas,235101-240012,True,True,True,False,True,
72,Can you display the near-surface air temperature data for the ssp119 CO2 emissions scenario between 235101 and 240012?,ssp119,tas,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,tas,235101-240012,True,True,True,False,True,
114,Please show me the precipitation data regarding the ssp119 CO2 emissions scenario for the period encompassing 205101-210012.,ssp119,pr,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,pr,205101-210012,True,True,True,False,True,
161,Kindly present the precipitation data related to the ssp119 CO2 emissions scenario from the year 230101 to 235012.,ssp119,pr,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,pr,230101-235012,True,True,True,False,True,
118,I would appreciate it if you could provide me with the precipitation data related to the ssp119 CO2 emissions scenario during the period 205101-210012.,ssp119,pr,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,pr,205101-210012,True,True,True,False,True,
162,"I am interested in accessing the precipitation data pertaining to the ssp119 CO2 emissions scenario, covering the time frame of 230101 to 235012.",ssp119,pr,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,pr,230101-235012,True,True,True,False,True,
115,Kindly furnish me with the precipitation data for the ssp119 CO2 emissions scenario for the span of time from 205101 to 210012.,ssp119,pr,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,pr,205101-210012,True,True,True,False,True,
