query_id,query,expected_scenario,expected_variable,expected_year_range,expected_file_path,predicted_scenario,predicted_variable,predicted_year_range,predicted_file_path,scenario_match,variable_match,year_range_match,file_path_match,success,error
4,I am interested in examining the near-surface air temperature data associated with the ssp119 CO2 emissions scenario from January 2015 to December 2050.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,"ERROR: HTTPConnectionPool(host='192.168.112.130', port=80): Max retries exceeded with url: /api/v1/run/b28b3af9-2779-4d13-a86a-e7235ce95b00?stream=false (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000019B8A82B500>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",,,,False,False,False,False,False,"HTTPConnectionPool(host='192.168.112.130', port=80): Max retries exceeded with url: /api/v1/run/b28b3af9-2779-4d13-a86a-e7235ce95b00?stream=false (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000019B8A82B500>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
0,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 201501-205012,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
5,Show me the near-surface air temperature data relating to the ssp119 CO2 emissions scenario throughout the period 201501-205012.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
8,Share with me the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario for the timeframe 201501-205012.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,"ERROR: HTTPConnectionPool(host='192.168.112.130', port=80): Max retries exceeded with url: /api/v1/run/b28b3af9-2779-4d13-a86a-e7235ce95b00?stream=false (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000019B8A82AAB0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",,,,False,False,False,False,False,"HTTPConnectionPool(host='192.168.112.130', port=80): Max retries exceeded with url: /api/v1/run/b28b3af9-2779-4d13-a86a-e7235ce95b00?stream=false (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000019B8A82AAB0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
9,I'm seeking the near-surface air temperature data available for the ssp119 CO2 emissions scenario for the period starting from January 2015 to December 2050.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,"ERROR: HTTPConnectionPool(host='192.168.112.130', port=80): Max retries exceeded with url: /api/v1/run/b28b3af9-2779-4d13-a86a-e7235ce95b00?stream=false (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000019B8A860710>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",,,,False,False,False,False,False,"HTTPConnectionPool(host='192.168.112.130', port=80): Max retries exceeded with url: /api/v1/run/b28b3af9-2779-4d13-a86a-e7235ce95b00?stream=false (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000019B8A860710>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
6,I'd like to view the near-surface air temperature data for the ssp119 CO2 emissions scenario concerning the time range 201501-205012.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
7,Kindly show me the near-surface air temperature data for the 201501-205012 period regarding the ssp119 CO2 emissions scenario.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
3,Could you provide me with the near-surface air temperature data linked to the ssp119 CO2 emissions scenario for the period spanning 201501 to 205012?,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
2,Please display the near-surface air temperature data for the ssp119 CO2 emissions scenario covering the timeframe 201501-205012.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
1,I would like to see the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario for the period from January 2015 to December 2050.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
