query_id,query,expected_scenario,expected_variable,expected_year_range,expected_file_path,predicted_scenario,predicted_variable,predicted_year_range,predicted_file_path,scenario_match,variable_match,year_range_match,file_path_match,success,error
29,Can you present the sea level pressure figures associated with the ssp119 CO2 emissions forecast between 230101 and 235012?,ssp119,psl,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/psl/gn/v20200115/psl_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,psl,230101-235012,,True,True,True,False,True,
28,Could you pull up the precipitation data for the ssp119 CO2 emissions scenario for the timeframe 235101-240012?,ssp119,pr,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/pr/gn/v20200115/pr_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_235101-240012.nc,ssp119,pr,235101-240012,,True,True,True,False,True,
30,Kindly show me the sea level pressure data pertaining to the ssp119 CO2 emissions model for the time range 230101-235012.,ssp119,psl,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/psl/gn/v20200115/psl_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_230101-235012.nc,ssp119,psl,230101-235012,,True,True,True,False,True,
31,Show me total soil moisture content data for a ssp119 CO2 emissions scenario for 210101-215012,ssp119,mrso,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,mrso,210101-215012,,True,True,True,False,True,
32,Can you provide me with all the details about soil moisture content for the ssp119 CO2 emissions scenario throughout 210101-215012?,ssp119,mrso,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,mrso,210101-215012,,True,True,True,False,True,
33,I need the complete overview of soil moisture content data for the ssp119 CO2 emissions scenario covering the period 210101-215012.,ssp119,mrso,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,mrso,210101-215012,,True,True,True,False,True,
78,Show me total soil moisture content data for a ssp126 CO2 emissions scenario for 220101-225012,ssp126,mrso,220101-225012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Lmon/mrso/gn/v20200115/mrso_Lmon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_220101-225012.nc,ssp126,mrso,220101-225012,,True,True,True,False,True,
77,Show me total cloud cover data for a ssp126 CO2 emissions scenario for 240101-245012,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc,ssp126,clt,240101-245012,,True,True,True,False,True,
79,I need the surface downwelling shortwave radiation data regarding the ssp126 CO2 emissions scenario from 210101 to 215012.,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc,ssp126,rsds,210101-215012,,True,True,True,False,True,
278,Could you show me the total cloud cover data associated with the ssp585 CO2 emissions scenario for the interval ranging from 210101 to 215012?,ssp585,clt,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp585/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp585_r3i1p1f2_gn_210101-215012.nc,ssp585,"cl, clt, cltisccp",210101-215012,,True,False,True,False,True,
279,Kindly present me with the total cloud cover data concerning the ssp585 CO2 emissions pathway for the period between 210101 and 215012.,ssp585,clt,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp585/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp585_r3i1p1f2_gn_210101-215012.nc,ssp585,clt,210101-215012,,True,True,True,False,True,
280,Kindly show me the data related to surface downwelling shortwave radiation for the ssp585 CO2 emissions scenario between 201501 and 205012.,ssp585,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp585/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp585_r3i1p1f2_gn_201501-205012.nc,ssp585,rsds,201501-205012,,True,True,True,False,True,
281,Data on surface downwelling shortwave radiation for the ssp585 CO2 emissions scenario from 201501 to 205012 is requested.,ssp585,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp585/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp585_r3i1p1f2_gn_201501-205012.nc,ssp585,rsds,201501-205012,,True,True,True,False,True,
282,Show me surface downwelling shortwave radiation data for a ssp585 CO2 emissions scenario for 225101-230012,ssp585,rsds,225101-230012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp585/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp585_r3i1p1f2_gn_225101-230012.nc,ssp585,rsdscs,225101-230012,,True,False,True,False,True,
